ItemNum,Procedure,TrialType,Sound1,Sound2,RhymeMatch,OrthoMatch,CRESP
1,showtrial,Practice,fine,mine,n/a,n/a,yes
2,showtrial,Practice,night,quite,n/a,n/a,yes
3,showlastpractice,Practice,food,good,n/a,n/a,no
4,showtrial,Real,key,day,no,no,no
5,showtrial,Real,crush,plush,yes,yes,yes
6,showtrial,Real,tone,gone,no,yes,no
7,showtrial,Real,firm,term,yes,no,yes
8,showtrial,Real,share,care,yes,yes,yes
9,showtrial,Real,bowl,jowl,no,yes,no
10,showtrial,Real,plot,goat,no,no,no
11,showtrial,Real,view,cue,yes,no,yes
12,showtrial,Real,dirt,curt,yes,no,yes
13,showtrial,Real,cough,rough,no,yes,no
14,showtrial,Real,lime,mime,yes,yes,yes
15,showtrial,Real,gall,yell,no,no,no
16,showtrial,Real,hive,give,no,yes,no
17,showtrial,Real,front,stunt,yes,no,yes
18,showtrial,Real,cup,nap,no,no,no
19,showtrial,Real,dune,tune,yes,yes,yes
20,showtrial,Real,bite,kite,yes,yes,yes
21,showtrial,Real,drove,shove,no,yes,no
22,showtrial,Real,full,wool,yes,no,yes
23,showtrial,Real,cash,bush,no,no,no
24,showtrial,Real,stew,glue,yes,no,yes
25,showtrial,Real,glad,mad,yes,yes,yes
26,showtrial,Real,lose,pose,no,yes,no
27,showtrial,Real,gum,from,yes,no,yes
28,showtrial,Real,desk,list,no,no,no
29,showtrial,Real,mold,held,no,no,no
30,showtrial,Real,trait,rate,yes,no,yes
31,showtrial,Real,step,pep,yes,yes,yes
32,showtrial,Real,bead,head,no,yes,no
33,showtrial,Real,wart,mart,no,yes,no
34,showtrial,Real,ply,tie,yes,no,yes
35,showtrial,Real,spent,haunt,no,no,no
36,showtrial,Real,bog,log,yes,yes,yes
37,showtrial,Real,guide,tried,yes,no,yes
38,showtrial,Real,bran,thin,no,no,no
39,showtrial,Real,fool,tool,yes,yes,yes
40,showtrial,Real,burn,learn,yes,no,yes
41,showtrial,Real,clove,sieve,no,no,no
42,showtrial,Real,threat,treat,no,yes,no
43,showtrial,Real,dread,plaid,no,no,no
44,showtrial,Real,rise,wise,yes,yes,yes
45,showtrial,Real,said,shed,yes,no,yes
46,showtrial,Real,heat,quit,no,no,no
47,showtrial,Real,bath,path,yes,yes,yes
48,showtrial,Real,bomb,tomb,no,yes,no
49,showtrial,Real,map,tap,yes,yes,yes
50,showtrial,Real,clog,sprig,no,no,no
51,showtrial,Real,loose,juice,yes,no,yes
52,showtrial,Real,foot,toot,no,yes,no
53,showtrial,Real,warm,boom,no,no,no
54,showtrial,Real,shrug,plug,yes,yes,yes
55,showtrial,Real,scorch,torch,yes,yes,yes
56,showtrial,Real,host,roast,yes,no,yes
57,showtrial,Real,lint,pint,no,yes,no
58,showtrial,Real,duck,pack,no,no,no
59,showtrial,Real,hood,mood,no,yes,no
60,showtrial,Real,blown,cone,yes,no,yes
61,showtrial,Real,mute,cute,yes,yes,yes
62,showtrial,Real,couch,touch,no,yes,no
63,showtrial,Real,punt,tint,no,no,no
64,showtrial,Real,newt,moot,yes,no,yes
65,showtrial,Real,lard,ward,no,yes,no
66,showtrial,Real,pipe,ripe,yes,yes,yes
67,showtrial,Real,deaf,leaf,no,yes,no