ItemNum,Procedure,topleft,topright,botleft,botright,CRESP,TrialType,TargetLocation
1,showpractice,g,s,z,f,s,Practice,topright
2,showpractice,s,n,f,h,h,Practice,botright
3,showlastpractice,sh,ch,wh,ph,wh,Practice,botleft
4,showtrial,b,h,d,p,b,Real,topleft
5,showtrial,v,f,s,t,f,Real,topright
6,showtrial,j,r,t,l,l,Real,botright
7,showtrial,h,b,m,n,m,Real,botleft
8,showtrial,r,n,y,l,r,Real,topleft
9,showtrial,w,y,m,v,w,Real,topleft
10,showtrial,sh,tr,ph,th,th,Real,botright
11,showtrial,th,k,h,g,k,Real,topright
12,showtrial,w,z,v,f,v,Real,botleft
13,showtrial,f,d,l,t,t,Real,botright
14,showtrial,th,sh,ch,cl,ch,Real,botleft
15,showtrial,j,r,y,l,j,Real,topleft
16,showtrial,q,d,b,p,d,Real,topright
17,showtrial,v,z,y,s,z,Real,topright
18,showtrial,h,m,n,l,n,Real,botleft
19,showtrial,sh,pl,th,ph,ph,Real,botright
20,showtrial,g,p,q,k,g,Real,topleft
21,showtrial,th,ph,sh,sk,sh,Real,botleft
22,showtrial,q,p,t,b,p,Real,topright
23,showtrial,w,r,v,y,y,Real,botright