ItemNum,Procedure,topleft,topright,botleft,botright,CRESP,WordType,PartofSpeech,TrialType,TargetLocation
1,showtrial,cake,mousse,fudge,pie,mousse,HI_LF_Irr,Noun,Practice,topright
2,showlastpractice,run,dance,climb,swim,climb,HI_HF_Irr,Verb,Practice,botleft
3,showtrial,moose,bear,fox1,deer,bear,HI_HF_Irr,Noun,Real,topright
4,showtrial,cross,square,star,heart,heart,HI_HF_Irr,Noun,Real,botright
5,showtrial,cone,wedge,sphere,cube,wedge,HI_LF_Reg,Noun,Real,topright
6,showtrial,chalk,kite,bat,hoop,hoop,HI_LF_Reg,Noun,Real,botright
7,showtrial,bush,moss1,tree,grass,bush,HI_HF_Irr,Noun,Real,topleft
8,showtrial,squid,eel,crab,clam,crab,HI_LF_Reg,Noun,Real,botleft
9,showtrial,silk,wool,lace,suede,wool,HI_LF_Irr,Noun,Real,topright
10,showtrial,brush,soap,floss,comb,comb,HI_LF_Irr,Noun,Real,botright
11,showtrial,sing,cry,yell,laugh,yell,HI_HF_Reg,Verb,Real,botleft
12,showtrial,hinge,lock,knob,latch,hinge,HI_LF_Reg,Noun,Real,topleft
13,showtrial,wood,chrome,stone1,cork,chrome,HI_LF_Irr,Noun,Real,topright
14,showtrial,tile,dice,chip,pawn,pawn,HI_LF_Reg,Noun,Real,botright
15,showtrial,black,green,red,blue,black,HI_HF_Reg,Noun,Real,topleft
16,showtrial,tusk,beak,claw,fang,claw,HI_LF_Reg,Noun,Real,botleft
17,showtrial,flood,storm,fire,drought,flood,HI_LF_Irr,Noun,Real,topleft
18,showtrial,goat,pig,sheep,horse,horse,HI_HF_Reg,Noun,Real,botright
19,showtrial,scouts,team,choir,class,choir,HI_LF_Irr,Noun,Real,botleft
20,showtrial,paw2,wing,tail,ear,wing,HI_HF_Reg,Noun,Real,topright
21,showtrial,box,bin,tank,crate,crate,HI_LF_Reg,Noun,Real,botright
22,showtrial,touch,smell,hear,look,touch,HI_HF_Irr,Verb,Real,topleft
23,showtrial,scarf,watch,belt,tie,belt,HI_HF_Reg,Noun,Real,botleft
24,showtrial,goose,crow,owl,duck,crow,HI_LF_Irr,Noun,Real,topright
25,showtrial,jar,mug,flask,jug,flask,HI_LF_Reg,Noun,Real,botleft
26,showtrial,plaid,stripes,swirl,scales,plaid,HI_LF_Irr,Noun,Real,topleft
27,showtrial,arm,hand,knee,foot,foot,HI_HF_Irr,Noun,Real,botright
28,showtrial,dog,wolf,fox2,skunk,wolf,HI_HF_Irr,Noun,Real,topright
29,showtrial,beet,plum1,pear,grape1,pear,HI_LF_Irr,Noun,Real,botleft
30,showtrial,sneeze,wink,yawn,smile,wink,HI_LF_Reg,Verb,Real,topright
31,showtrial,boat,car,bus,train,boat,HI_HF_Reg,Noun,Real,topleft
32,showtrial,judge,nurse,chef,coach,chef,HI_HF_Irr,Noun,Real,botleft
33,showtrial,mulch,stone2,straw,moss2,mulch,HI_LF_Reg,Noun,Real,topleft
34,showtrial,squash,grape,lime,peach2,grape,HI_LF_Reg,Noun,Real,topright
35,showtrial,rig,plow,lift,crane,crane,HI_HF_Reg,Noun,Real,botright
36,showtrial,bowl,glass,plate,pot,bowl,HI_HF_Irr,Noun,Real,topleft
37,showtrial,saw2,hoe,rake,axe,axe,HI_LF_Irr,Noun,Real,botright
38,showtrial,fish1,crab1,ham,steak,steak,HI_HF_Irr,Noun,Real,botright
39,showtrial,skirt,shirt,dress,pants,shirt,HI_HF_Reg,Noun,Real,topright
40,showtrial,knife,axe1,sword,saw1,sword,HI_HF_Irr,Noun,Real,botleft
41,showtrial,gnome,troll,ghost,witch,witch,HI_HF_Reg,Noun,Real,botright
42,showtrial,sew,draw,paint,weave,sew,HI_LF_Irr,Verb,Real,topleft
43,showtrial,fruit,oats,toast,egg,toast,HI_HF_Reg,Noun,Real,botleft
44,showtrial,ship,raft,sailboat,yacht,yacht,HI_LF_Irr,Noun,Real,botright
45,showtrial,woods,beach,plain,swamp,beach,HI_HF_Reg,Noun,Real,topright
46,showtrial,sock ,vest,shoe,glove,shoe,HI_HF_Irr,Noun,Real,botleft
47,showtrial,claw1,paw1,hoof,fin,hoof,HI_LF_Irr,Noun,Real,botleft
48,showtrial,plum,corn,peach1,fig,plum,HI_LF_Reg,Noun,Real,topleft
49,showtrial,shell,sand,sponge,fish2,shell,HI_HF_Reg,Noun,Real,topleft
50,showtrial,teeth,tongue,chin,nose,tongue,HI_HF_Irr,Noun,Real,topright