ItemNum,Procedure,topimage,leftimage,rightimage,CRESP,TrialType
1,showpractice,a_lower,B_upper,A_upper,A_upper,Practice
2,showpractice,B_Upper,b_lower,a_lower,b_lower,Practice
3,showlastpractice,c_lower,A_upper,C_upper,C_upper,Practice
4,showtrial,I_upper,i_lower,j_lower,i_lower,Real
5,showtrial,T_upper,f_lower,t_lower,t_lower,Real
6,showtrial,G_upper,q_lower,g_lower,g_lower,Real
7,showtrial,S_upper,s_lower,z_lower,s_lower,Real
8,showtrial,X_upper,k_lower,x_lower,x_lower,Real
9,showtrial,E_upper,O_upper,e_lower,e_lower,Real
10,showtrial,U_upper,u_lower,v_lower,u_lower,Real
11,showtrial,W_upper,w_lower,m_lower,w_lower,Real
12,showtrial,C_upper,c_lower,a_lower,c_lower,Real
13,showtrial,D_upper,d_lower,b_lower,d_lower,Real
14,showtrial,R_upper,r_lower,n_lower,r_lower,Real
15,showtrial,A_upper,u_lower,a_lower,a_lower,Real
16,showtrial,Y_upper,p_lower,y_lower,y_lower,Real
17,showtrial,Z_upper,z_lower,s_lower,z_lower,Real
18,showtrial,F_upper,f_lower,t_lower,f_lower,Real
19,showtrial,J_upper,j_lower,i_lower,j_lower,Real
20,showtrial,M_upper,n_lower,m_lower,m_lower,Real
21,showtrial,K_upper,k_lower,x_lower,k_lower,Real
22,showtrial,Q_upper,g_lower,q_lower,q_lower,Real
23,showtrial,O_upper,e_lower,o_lower,o_lower,Real
24,showtrial,V_upper,v_lower,u_lower,v_lower,Real
25,showtrial,P_upper,p_lower,y_lower,p_lower,Real
26,showtrial,B_upper,d_lower,b_lower,b_lower,Real
27,showtrial,L_upper,f_lower,l_lower,l_lower,Real
28,showtrial,H_upper,k_lower,h_lower,h_lower,Real
29,showtrial,N_upper,m_lower,n_lower,n_lower,Real
30,showtrial,f_lower,F_upper,T_upper,F_upper,Real
31,showtrial,o_lower,Q_upper,O_upper,O_upper,Real
32,showtrial,n_lower,M_upper,N_upper,N_upper,Real
33,showtrial,a_lower,A_upper,V_upper,A_upper,Real
34,showtrial,i_lower,L_upper,I_upper,I_upper,Real
35,showtrial,p_lower,B_upper,P_upper,P_upper,Real
36,showtrial,m_lower,M_upper,N_upper,M_upper,Real
37,showtrial,e_lower,H_upper,E_upper,E_upper,Real
38,showtrial,c_lower,C_upper,G_upper,C_upper,Real
39,showtrial,s_lower,B_upper,S_upper,S_upper,Real
40,showtrial,y_lower,K_upper,Y_upper,Y_upper,Real
41,showtrial,j_lower,J_upper,T_upper,J_upper,Real
42,showtrial,r_lower,R_upper,B_upper,R_upper,Real
43,showtrial,u_lower,U_upper,V_upper,U_upper,Real
44,showtrial,t_lower,T_upper,F_upper,T_upper,Real
45,showtrial,z_lower,X_upper,Z_upper,Z_upper,Real
46,showtrial,d_lower,O_upper,D_upper,D_upper,Real
47,showtrial,b_lower,B_upper,S_upper,B_upper,Real
48,showtrial,k_lower,Y_upper,K_upper,K_upper,Real
49,showtrial,g_lower,C_upper,G_upper,G_upper,Real
50,showtrial,q_lower,Q_upper,O_upper,Q_upper,Real
51,showtrial,x_lower,X_upper,Z_upper,X_upper,Real
52,showtrial,w_lower,M_upper,W_upper,W_upper,Real
53,showtrial,h_lower,H_upper,E_upper,H_upper,Real
54,showtrial,l_lower,L_upper,F_upper,L_upper,Real
55,showtrial,v_lower,A_upper,V_upper,V_upper,Real