ItemNum,Weight,Nested,Procedure,video,forwardbutton,TrialWasAdministered,TrialType,Repetitions,LengthNumber
P1,1,,showtrial,24,forwardbutton,0,Practice,0,1
P2,1,,showtrial,79,forwardbutton,0,Practice,0,1
P3,1,,showlastpractice,57,forwardbutton,0,Practice,0,1
1,1,,showtrial,17,forwardbutton,0,Real,0,1
2,1,,showtrial,63,forwardbutton,0,Real,0,2
3,1,,showtrial,582,forwardbutton,0,Real,0,1
4,1,,showtrial,694,forwardbutton,0,Real,0,2
5,1,,showtrial,6439,forwardbutton,0,Real,0,1
6,1,,showtrial,7286,forwardbutton,0,Real,0,2
7,1,,showtrial,42731,forwardbutton,0,Real,0,1
8,1,,showtrial,75836,forwardbutton,0,Real,0,2
9,1,,showtrial,619473,forwardbutton,0,Real,0,1
10,1,,showtrial,392487,forwardbutton,0,Real,0,2
11,1,,showtrial,5914278,forwardbutton,0,Real,0,1
12,1,,showtrial,4179386,forwardbutton,0,Real,0,2
13,1,,showtrial,58192647,forwardbutton,0,Real,0,1
14,1,,showtrial,38295174,forwardbutton,0,Real,0,2
15,1,,showtrial,275862584,forwardbutton,0,Real,0,1
16,1,,showtrial,713942568,forwardbutton,0,Real,0,2