ItemNum,Trial,Item,TrialType,Procedure
1,P1,desk,Practice,showpractice
2,P2,porcupine,Practice,showpractice
3,P3,tractor,Practice,showlastpractice
4,1,book,Real,showtrial
5,2,towel,Real,showtrial
6,3,celery,Real,showtrial
7,4,balloon,Real,showtrial
8,5,cheese,Real,showtrial
9,6,envelope,Real,showtrial
10,7,hand,Real,showtrial
11,8,button,Real,showtrial
12,9,elephant,Real,showtrial
13,10,glue,Real,showtrial
14,11,banana,Real,showtrial
15,12,pencil,Real,showtrial
16,13,mop,Real,showtrial
17,14,potato,Real,showtrial
18,15,chimney,Real,showtrial
19,16,baby,Real,showtrial
20,17,stethoscope,Real,showtrial
21,18,ear,Real,showtrial
22,19,spatula,Real,showtrial
23,20,umbrella,Real,showtrial
24,21,fan,Real,showtrial
25,22,sandwich,Real,showtrial
26,23,butterfly,Real,showtrial
27,24,house,Real,showtrial
28,25,candle,Real,showtrial
29,26,tomato,Real,showtrial
30,27,bridge,Real,showtrial
31,28,orange,Real,showtrial
32,29,zebra,Real,showtrial
33,30,sun,Real,showtrial
34,31,ruler,Real,showtrial
35,32,net,Real,showtrial
36,33,strawberry,Real,showtrial
37,34,guitar,Real,showtrial
38,35,dinosaur,Real,showtrial
39,36,plate,Real,showtrial
40,37,submarine,Real,showtrial
41,38,bottle,Real,showtrial
42,39,ring,Real,showtrial
43,40,pyramid,Real,showtrial
44,41,snail,Real,showtrial
45,42,table,Real,showtrial
46,43,astronaut,Real,showtrial
47,44,volcano,Real,showtrial
48,45,penguin,Real,showtrial
49,46,truck,Real,showtrial
50,47,pillow,Real,showtrial
51,48,screwdriver,Real,showtrial
52,49,cat,Real,showtrial
53,50,doctor,Real,showtrial
54,51,unicorn,Real,showtrial
55,52,bed,Real,showtrial
56,53,puzzle,Real,showtrial
57,54,apple,Real,showtrial
58,55,bell,Real,showtrial
59,56,feather,Real,showtrial
60,57,cow,Real,showtrial
61,58,hospital,Real,showtrial
62,59,pineapple,Real,showtrial
63,60,box,Real,showtrial