ItemNum,Procedure,Item,TrialType,WordType,
1,showpractice,desk,Practice,practice,
2,showpractice,porcupine,Practice,practice,
3,showlastpractice,tractor,Practice,practice,
4,showtrial,bridge,Real,real,
5,showtrial,envelope,Real,real,
6,showtrial,hand,Real,real,
7,showtrial,doctor,Real,real,
8,showtrial,orange,Real,real,
9,showtrial,elephant,Real,real,
10,showtrial,cheese,Real,real,
11,showtrial,guitar,Real,real,
12,showtrial,butterfly,Real,real,
13,showtrial,candle,Real,real,
14,showtrial,house,Real,real,
15,showtrial,pineapple,Real,real,
16,showtrial,balloon,Real,real,
17,showtrial,sun,Real,real,
18,showtrial,pencil,Real,real,
19,showtrial,umbrella,Real,real,
20,showtrial,ring,Real,real,
21,showtrial,table,Real,real,
22,showtrial,pyramid,Real,real,
23,showtrial,sandwich,Real,real,
24,showtrial,truck,Real,real,
25,showtrial,potato,Real,real,
26,showtrial,net,Real,real,
27,showtrial,box,Real,real,
28,showtrial,zebra,Real,real,
29,showtrial,hospital,Real,real,
30,showtrial,pillow,Real,real,
31,showtrial,banana,Real,real,
32,showtrial,volcano,Real,real,
33,showtrial,plate,Real,real,