ItemNum,Item,TrialType,Procedure
P1,b,practice,showtrial
P2,o,practice,showlastpractice
1,n,real,showtrial
2,j,real,showtrial
3,u,real,showtrial
4,p,real,showtrial
5,k,real,showtrial
6,v,real,showtrial
7,d,real,showtrial
8,i,real,showtrial
9,g,real,showtrial
10,x,real,showtrial
11,s,real,showtrial
12,h,real,showtrial
13,l,real,showtrial
14,m,real,showtrial
15,z,real,showtrial
16,o,real,showtrial
17,b,real,showtrial
18,y,real,showtrial
19,f,real,showtrial
20,c,real,showtrial
21,r,real,showtrial
22,e,real,showtrial
23,q,real,showtrial
24,t,real,showtrial
25,a,real,showtrial
26,w,real,showtrial