ItemNum,Procedure,TrialType,Weight,Nested,Xpcnt,Ypcnt,CRESP,TrialWasAdministered,Repetitions,delay
P1,showtrial,Practice,1,,0.54,0.54,yes,0,0,500
P2,showtrial,Practice,1,,0.25,0.8,yes,0,0,750
P3,showtrial,Practice,1,,0.5,0.8,no,0,0,1000
P4,showtrial,Practice,1,,0.25,0.2,yes,0,0,250
P5,showtrial,Practice,1,,0.75,0.8,yes,0,0,1000
P6,showlastpractice,Practice,1,,0.75,0.5,yes,0,0,500
1,showtrial,Real,10,,0.1,0.1,no,0,0,0
2,showtrial,Real,2,,0.25,0.25,yes,0,0,0
3,showtrial,Real,2,,0.35,0.25,yes,0,0,0
4,showtrial,Real,2,,0.45,0.25,yes,0,0,0
5,showtrial,Real,2,,0.55,0.25,yes,0,0,0
6,showtrial,Real,2,,0.65,0.25,yes,0,0,0
7,showtrial,Real,2,,0.75,0.25,yes,0,0,0
8,showtrial,Real,2,,0.25,0.35,yes,0,0,0
9,showtrial,Real,2,,0.35,0.35,yes,0,0,0
10,showtrial,Real,2,,0.45,0.35,yes,0,0,0
11,showtrial,Real,2,,0.55,0.35,yes,0,0,0
12,showtrial,Real,2,,0.65,0.35,yes,0,0,0
13,showtrial,Real,2,,0.75,0.35,yes,0,0,0
14,showtrial,Real,2,,0.25,0.45,yes,0,0,0
15,showtrial,Real,2,,0.35,0.45,yes,0,0,0
16,showtrial,Real,2,,0.45,0.45,yes,0,0,0
17,showtrial,Real,2,,0.55,0.45,yes,0,0,0
18,showtrial,Real,2,,0.65,0.45,yes,0,0,0
19,showtrial,Real,2,,0.75,0.45,yes,0,0,0
20,showtrial,Real,2,,0.25,0.55,yes,0,0,0
21,showtrial,Real,2,,0.35,0.55,yes,0,0,0
22,showtrial,Real,2,,0.45,0.55,yes,0,0,0
23,showtrial,Real,2,,0.55,0.55,yes,0,0,0
24,showtrial,Real,2,,0.65,0.55,yes,0,0,0
25,showtrial,Real,2,,0.75,0.55,yes,0,0,0
26,showtrial,Real,2,,0.25,0.65,yes,0,0,0
27,showtrial,Real,2,,0.35,0.65,yes,0,0,0
28,showtrial,Real,2,,0.45,0.65,yes,0,0,0
29,showtrial,Real,2,,0.55,0.65,yes,0,0,0
30,showtrial,Real,2,,0.65,0.65,yes,0,0,0
31,showtrial,Real,2,,0.75,0.65,yes,0,0,0
32,showtrial,Real,2,,0.25,0.75,yes,0,0,0
33,showtrial,Real,2,,0.35,0.75,yes,0,0,0
34,showtrial,Real,2,,0.45,0.75,yes,0,0,0
35,showtrial,Real,2,,0.55,0.75,yes,0,0,0
36,showtrial,Real,2,,0.65,0.75,yes,0,0,0
37,showtrial,Real,2,,0.75,0.75,yes,0,0,0