ItemNum,Procedure,TrialType,RelationType,Sound1,Sound2,CRESP
1,showpractice,Practice,tax,hair,fur,yes
2,showlastpractice,Practice,unrelated,lock,frog,no
3,showtrial,Real,theme,candle,match,yes
4,showtrial,Real,unrelated,dune,queen,no
5,showtrial,Real,tax,fireman,teacher,yes
6,showtrial,Real,unrelated,napkin,sword,no
7,showtrial,Real,theme,cloud,drizzle,yes
8,showtrial,Real,unrelated,hat,plug,no
9,showtrial,Real,unrelated,block,pilot,no
10,showtrial,Real,theme,hook,rod,yes
11,showtrial,Real,tax,floss,yarn,yes
12,showtrial,Real,unrelated,glass,lion,no
13,showtrial,Real,unrelated,cheese,kayak,no
14,showtrial,Real,tax,easter,thanksgiving,yes
15,showtrial,Real,theme,bed,pillow,yes
16,showtrial,Real,unrelated,glove,pretzel,no
17,showtrial,Real,tax,crown,helmet,yes
18,showtrial,Real,unrelated,fan,thorn,no
19,showtrial,Real,unrelated,cord,shampoo,no
20,showtrial,Real,theme,marsh,reed,yes
21,showtrial,Real,unrelated,folder,thunder,no
22,showtrial,Real,theme,blacksmith,forge,yes
23,showtrial,Real,unrelated,tail,tire,no
24,showtrial,Real,tax,grizzly,panda,yes
25,showtrial,Real,unrelated,canoe,jester,no
26,showtrial,Real,unrelated,grill,pyramid,no
27,showtrial,Real,theme,armor,blade,yes
28,showtrial,Real,tax,cow,lamb,yes
29,showtrial,Real,unrelated,earring,gravy,no
30,showtrial,Real,theme,cloak,friar,yes
31,showtrial,Real,tax,breakfast,dinner,yes
32,showtrial,Real,unrelated,cane,lightning,no
33,showtrial,Real,theme,moon,wolf,yes
34,showtrial,Real,unrelated,pendant,toilet,no
35,showtrial,Real,unrelated,gun,spinach,no
36,showtrial,Real,tax,boat,train,yes
37,showtrial,Real,theme,sand,seaweed,yes
38,showtrial,Real,unrelated,computer,radish,no
39,showtrial,Real,tax,beaver,seal,yes
40,showtrial,Real,unrelated,base,moth,no
41,showtrial,Real,theme,forest,trail,yes
42,showtrial,Real,unrelated,bull,note,no
43,showtrial,Real,tax,jug,urn,yes
44,showtrial,Real,unrelated,bulb,dog,no
45,showtrial,Real,tax,car,tractor,yes
46,showtrial,Real,theme,map,route,yes
47,showtrial,Real,unrelated,balloon,mustard,no
48,showtrial,Real,tax,otter,rat,yes
49,showtrial,Real,unrelated,chip,mountain,no
50,showtrial,Real,unrelated,bridge,cougar,no
51,showtrial,Real,theme,sugar,tea,yes
52,showtrial,Real,unrelated,rubber,turtle,no
53,showtrial,Real,tax,lunch,snack,yes
54,showtrial,Real,unrelated,case,web,no
55,showtrial,Real,theme,butter,corn,yes
56,showtrial,Real,tax,lake,sea,yes
57,showtrial,Real,unrelated,bread,chain,no
58,showtrial,Real,unrelated,island,shoe,no
59,showtrial,Real,theme,book,paper,yes
60,showtrial,Real,unrelated,cup,weapon,no
61,showtrial,Real,tax,bishop,rabbi,yes
62,showtrial,Real,theme,envelope,letter,yes
63,showtrial,Real,unrelated,arrow,tooth,no
64,showtrial,Real,tax,bean,peanut,yes
65,showtrial,Real,unrelated,lobster,purse,no
66,showtrial,Real,unrelated,page,vulture,no