ItemNum,Procedure,Item,TrialWasAdministered,TrialType,BlockNumber,StartBlock,WordType
1,showtrial,dape,0,practice,1,1,practice
2,showtrial,frode,0,practice,1,1,practice
3,showlastpractice,thid,0,practice,1,1,practice
4,showtrial,slear,0,real,1,1,InconsistentPW
5,showtrial,bink,0,real,1,1,RegularPW
6,showtrial,sinse,0,real,1,1,Pseudohomophone
7,showtrial,drost,0,real,1,1,InconsistentPW
8,showtrial,tuff,0,real,1,1,Pseudohomophone
9,showtrial,broal,0,real,1,1,RegularPW
10,showtrial,preln,0,real,1,1,NoAnalogyPW
11,showtrial,bolg,0,real,1,1,NoAnalogyPW
12,showtrial,fron,0,real,1,1,InconsistentPW
13,showtrial,wribe,0,real,1,1,RegularPW
14,showtrial,bord,0,real,1,1,Pseudohomophone
15,showtrial,hish,0,real,1,1,RegularPW
16,showtrial,glown,0,real,1,1,InconsistentPW
17,showtrial,plear,0,real,1,1,InconsistentPW
18,showtrial,trase,0,real,1,1,Pseudohomophone
19,showtrial,cout,0,real,1,1,RegularPW
20,showtrial,hirn,0,real,1,1,NoAnalogyPW
21,showtrial,roze,0,real,1,1,Pseudohomophone
22,showtrial,clais,0,real,1,1,NoAnalogyPW
23,showtrial,wrofe,0,real,1,1,NoAnalogyPW
24,showasbreak,BREAK,0,break,1,1,N/A
25,showtrial,slind,0,real,2,1,InconsistentPW
26,showtrial,meech,0,real,2,1,RegularPW
27,showtrial,zoan,0,real,2,1,Pseudohomophone
28,showtrial,vage,0,real,2,1,RegularPW
29,showtrial,trow,0,real,2,1,InconsistentPW
30,showtrial,froum,0,real,2,1,NoAnalogyPW
31,showtrial,stilp,0,real,2,1,NoAnalogyPW
32,showtrial,cland,0,real,2,1,RegularPW
33,showtrial,nale,0,real,2,1,Pseudohomophone
34,showtrial,zask,0,real,2,1,RegularPW
35,showtrial,crilp,0,real,2,1,NoAnalogyPW
36,showtrial,fone,0,real,2,1,Pseudohomophone
37,showtrial,polb,0,real,2,1,NoAnalogyPW
38,showtrial,gead,0,real,2,1,InconsistentPW
39,showtrial,talch,0,real,2,1,NoAnalogyPW
40,showtrial,gaim,0,real,2,1,Pseudohomophone
41,showtrial,yoon,0,real,2,1,RegularPW
42,showtrial,hoth,0,real,2,1,InconsistentPW
43,showtrial,stail,0,real,2,1,Pseudohomophone
44,showtrial,vo,0,real,2,1,InconsistentPW